,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU,Valor m2,Tipo Agregado
590,Apartamento,Pechincha,2,1,1,61,1000.0,489.0,0.0,16.39,Residencial
591,Apartamento,Urca,3,1,1,220,16000.0,2757.0,544.0,72.73,Residencial
592,Apartamento,Copacabana,3,1,0,290,8000.0,2032.0,7000.0,27.59,Residencial
593,Apartamento,Tijuca,2,1,0,72,1500.0,734.0,0.0,20.83,Residencial
594,Apartamento,Praia da Bandeira,2,1,0,90,1400.0,480.0,85.0,15.56,Residencial
595,Flat,Ipanema,2,1,2,90,8000.0,2200.0,0.0,88.89,Residencial
596,Casa,Ramos,2,0,0,40,950.0,0.0,0.0,23.75,Residencial
597,Apartamento,Tijuca,3,0,0,86,1500.0,690.0,83.0,17.44,Residencial
598,Apartamento,Ipanema,3,2,1,200,9500.0,3600.0,1500.0,47.5,Residencial
599,Apartamento,Grajaú,2,0,0,53,1200.0,270.0,17.0,22.64,Residencial
600,Loft,Barra da Tijuca,1,1,0,50,2634.0,1326.0,240.0,52.68,Residencial
601,Casa,Jardim Botânico,4,2,4,387,25000.0,270.0,6661.0,64.6,Residencial
602,Casa,Anil,3,6,1,280,2800.0,0.0,190.0,10.0,Residencial
603,Apartamento,Copacabana,2,0,1,120,3800.0,1413.0,314.0,31.67,Residencial
604,Apartamento,Copacabana,4,1,2,270,13500.0,2800.0,0.0,50.0,Residencial
605,Apartamento,Grajaú,2,0,0,72,2000.0,0.0,758.0,27.78,Residencial
606,Apartamento,Ipanema,3,2,1,108,6000.0,2100.0,466.0,55.56,Residencial
607,Apartamento,Ipanema,3,2,1,220,9000.0,3600.0,1400.0,40.91,Residencial
608,Apartamento,Ipanema,1,0,1,46,1800.0,936.0,86.0,39.13,Residencial
