,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU,Valor m2,Tipo Agregado
418,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,55,1000.0,1000.0,385.0,18.18,Comercial
419,Conjunto Comercial/Sala,Taquara,0,0,0,30,1000.0,0.0,155.0,33.33,Comercial
420,Conjunto Comercial/Sala,Freguesia (Jacarepaguá),0,1,0,22,1000.0,10.0,0.0,45.45,Comercial
421,Conjunto Comercial/Sala,Bonsucesso,0,0,0,30,550.0,350.0,33.0,18.33,Comercial
422,Conjunto Comercial/Sala,Flamengo,0,3,0,179,15228.0,4916.0,0.0,85.07,Comercial
423,Prédio Inteiro,Ipanema,0,0,0,750,60000.0,0.0,0.0,80.0,Comercial
424,Conjunto Comercial/Sala,Botafogo,0,12,0,730,109500.0,24608.0,3934.0,150.0,Comercial
425,Conjunto Comercial/Sala,Centro,0,0,0,35,1000.0,492.0,97.0,28.57,Comercial
426,Conjunto Comercial/Sala,Campo Grande,0,1,0,32,810.0,115.0,154.0,25.31,Comercial
427,Conjunto Comercial/Sala,Barra da Tijuca,0,3,0,108,5400.0,4040.0,835.0,50.0,Comercial
428,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,23,1000.0,340.0,106.0,43.48,Comercial
429,Conjunto Comercial/Sala,Copacabana,0,0,0,58,1200.0,511.0,0.0,20.69,Comercial
430,Conjunto Comercial/Sala,Centro,0,0,0,680,23000.0,5628.0,2747.0,33.82,Comercial
431,Conjunto Comercial/Sala,Barra da Tijuca,0,21,0,643,57000.0,13500.0,8100.0,88.65,Comercial
432,Loja/Salão,Centro,0,0,0,51,6000.0,1650.0,314.0,117.65,Comercial
433,Loja/Salão,Barra da Tijuca,0,0,0,370,15000.0,1046.0,0.0,40.54,Comercial
434,Casa Comercial,Recreio dos Bandeirantes,0,1,0,38,2000.0,500.0,0.0,52.63,Comercial
435,Conjunto Comercial/Sala,Centro,0,1,0,260,10400.0,6695.0,0.0,40.0,Comercial
436,Galpão/Depósito/Armazém,Vila Kosmos,0,0,0,800,8000.0,0.0,0.0,10.0,Comercial
437,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,25,1000.0,0.0,0.0,40.0,Comercial
